action,handle,title,type,gender,price,media_count,score
KEEP,voltcore-2-piece-set-twist-front-bra-flare-leggings,"Women's Voltcore 2-Piece Set: Twist Front Bra + Flare Leggings, Black, 220 GSM — HIVOLT",Set,female,79.0,9,12.0
KEEP,womens-training-set-bra-ankle-leggings,"Women's Training Outfit Set: Cropped Bra + Ankle Leggings, Black, 230 GSM — HIVOLT",Set,female,79.0,4,10.5
KEEP,womens-yoga-set-halter-bra-yoga-pants,"Women's Yoga Outfit Set: Halter Bra + High Waisted Yoga Pants, Black, 220 GSM — HIVOLT",Set,female,89.0,4,10.5
KEEP,mens-training-set-tee-shorts,"Men's Training Outfit Set: Performance Tee + Drawstring Shorts, Black — HIVOLT",Set,male,65.0,4,10.5
KEEP,women-s-high-waisted-flare-leggings,"Women's High Waisted Flare Leggings, Black, 220 GSM — HIVOLT",Leggings,female,54.0,5,8.0
KEEP,womens-color-block-yoga-leggings,"Women's Color Block Yoga Leggings, Black, 250 GSM — HIVOLT",Leggings,female,64.0,2,5.0
KEEP,womens-high-rise-ankle-length-yoga-leggings,"Women's High Waisted Ankle Length Yoga Leggings, Black/White, 270 GSM — HIVOLT",Leggings,female,69.0,2,5.0
KEEP,womens-high-rise-flared-yoga-pants,"Women's High Waisted Flared Yoga Pants, Black — HIVOLT",Yoga Pants,female,59.0,2,4.0
KEEP,women-s-high-rise-topstitching-leggings,"Women's High Waisted Topstitching Leggings, Black — HIVOLT",Leggings,female,54.0,2,4.0
KEEP,womens-flared-drawstring-yoga-pants,"Women's Flared Drawstring Yoga Pants, Black, 240 GSM — HIVOLT",Yoga Pants,female,59.0,2,4.0
KEEP,womens-high-rise-ankle-length-leggings,"Women's High Waisted Ankle Length Leggings, Black, 230 GSM — HIVOLT",Leggings,female,59.0,2,4.0
ARCHIVE,womens-high-rise-yoga-pants,"Women's High Waisted Yoga Pants, Black, 220 GSM — HIVOLT",Yoga Pants,female,54.0,2,4.0
