Handle,Command,Image Src,Image Command
cropped-zip-through-hoodie,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_154647_845ff904-ba36-4861-ab83-64a9d4897087.png?v=1785599289,DELETE
mens-drawstring-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_143820_8d32d106-fead-4d31-ac2c-b140d8b6876d.png?v=1785595182,DELETE
men-s-lightweight-performance-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_141226_87ba992e-581b-42bf-9145-5ca82d7e11c8.png?v=1785593636,DELETE
men-s-jacquard-performance-tank-top,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_143803_579716b1-e69e-4daf-822e-3b6800f9e3d6.png?v=1785595172,DELETE
men-s-jacquard-slim-mesh-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_143805_52495454-5cbd-40ab-a670-0642620756fb.png?v=1785595173,DELETE
men-s-lightweight-sport-jersey,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_143811_863dba3a-d978-415e-9c39-9016e4a6cc34.png?v=1785595173,DELETE
men-s-quarter-zip-performance-long-sleeve-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q4-qzls-studio.png?v=1785429654,DELETE
men-s-quarter-zip-performance-long-sleeve-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q4-qzls-life.png?v=1785429656,DELETE
men-s-quarter-zip-performance-long-sleeve-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q4-qzls-back.png?v=1785429654,DELETE
men-s-quarter-zip-performance-long-sleeve-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q4-qzls-detail.png?v=1785429654,DELETE
men-s-quarter-zip-performance-long-sleeve-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q4-qzls-candid.png?v=1785429654,DELETE
men-s-quarter-zip-performance-polo-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_143812_b24d8602-5777-4a5a-a162-be3267e84e09.png?v=1785595173,DELETE
men-s-quarter-zip-raglan-training-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_143815_e7d15aa6-2477-47ec-a025-a5daece0b251.png?v=1785595181,DELETE
men-s-raglan-reflective-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_141236_ac32a807-a8be-450b-9c5b-c9fab907aeb3.png?v=1785593645,DELETE
men-s-slim-fit-topstitch-tank-top,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_143818_f0ec937a-0d54-4290-a92e-7a6f38b69884.png?v=1785595181,DELETE
classic-stripe-trim-basketball-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_141239_08a31b62-4cb6-4e5c-b687-2d983bf915f3.png?v=1785593645,DELETE
men-s-tapered-leg-drawstring-joggers,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_154634_2051a9e2-64ee-47f2-90a5-f8e184b457f0.png?v=1785599281,DELETE
men-s-tapered-leg-drawstring-joggers,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q4-joggers-studio.png?v=1785429653,DELETE
men-s-tapered-leg-drawstring-joggers,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q4-joggers-life.png?v=1785429654,DELETE
men-s-tapered-leg-drawstring-joggers,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q4-joggers-back.png?v=1785429653,DELETE
men-s-tapered-leg-drawstring-joggers,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q4-joggers-detail.png?v=1785429654,DELETE
men-s-tapered-leg-drawstring-joggers,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q4-joggers-candid.png?v=1785429654,DELETE
men-s-tight-cycling-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_154639_1c390855-752a-4afc-8cfa-48a13729d3a7.png?v=1785599282,DELETE
men-s-tight-cycling-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q5-cycling-studio.png?v=1785429586,DELETE
men-s-tight-cycling-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q5-cycling-life.png?v=1785429586,DELETE
men-s-tight-cycling-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q5-cycling-back.png?v=1785429586,DELETE
men-s-tight-cycling-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q5-cycling-detail.png?v=1785429586,DELETE
men-s-tight-cycling-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q5-cycling-candid.png?v=1785429587,DELETE
mens-color-block-raglan-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_143819_30165636-b24a-4c5a-8cf4-30d50b429b4b.png?v=1785595181,DELETE
mens-drawstring-basketball-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_141244_e9e1ab39-6d42-423b-9d52-a34f0baf9ac4.png?v=1785593646,DELETE
