Handle,Command,Image Src,Image Command
women-s-pleated-a-line-tennis-skirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q5-skirt-studio.png?v=1785429585,DELETE
women-s-pleated-a-line-tennis-skirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q5-skirt-life_e861431c-bba6-4f2b-89d2-2d28e82a0347.png?v=1785429585,DELETE
women-s-pleated-a-line-tennis-skirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q5-skirt-back.png?v=1785429585,DELETE
women-s-pleated-a-line-tennis-skirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q5-skirt-detail.png?v=1785429585,DELETE
women-s-pleated-a-line-tennis-skirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q5-skirt-candid.png?v=1785429585,DELETE
women-s-raglan-training-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b13-w-raglan-front.png?v=1785433999,DELETE
women-s-raglan-training-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b13-w-raglan-back.png?v=1785433999,DELETE
women-s-raglan-training-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b13-w-raglan-detail.png?v=1785434000,DELETE
women-s-slim-fit-full-zip-yoga-jacket,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_154649_b554dca4-9af7-4bf3-bec0-97e1c0c8107c.png?v=1785599290,DELETE
women-s-high-rise-color-block-yoga-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b6-w-cb-shorts-onmodel.png?v=1785434151,DELETE
