Store link,Monthly visitors,Country,Amount of products,Status
https://nobodyschild.com,4819137,GB,3944,BIG PLAYER - 150 live Google ads / 40 new in 30d / design reference
https://clubllondon.com,1858609,GB,2779,BIG PLAYER - 116 live Google ads
https://rebelliousfashion.com,548381,GB,24736,BIG PLAYER - 122 live Google ads / 14 new in 30d
https://wilson-and-carter.com,434480,US,1952,BIG PLAYER - born 2026-02 / 75% GB traffic / dropship pattern
https://goddiva.co.uk,379222,GB,4842,BIG PLAYER - 131 live Google ads
https://lunelondon.co.uk,146076,NL,25000,BIG PLAYER - NL dropship pattern / city-name store / 189 live Google ads
https://thecoutureclub.com,308084,GB,1803,MID PLAYER - 103 live Google ads / 17 new in 30d
https://girlinmind.com,154666,GB,1377,MID PLAYER - 32 live Google ads
https://bluevanilla.com,151190,GB,1842,MID PLAYER - 28 live Google ads
https://liveunlimitedlondon.com,139979,GB,2342,MID PLAYER - plus-size specialist / 44 live Google ads
https://averylanebrighton.com,138584,HK,1892,MID PLAYER - born 2026-06 / +9.5% growth / city-name dropship pattern
https://toa.st,1258761,GB,1152,OUTLIER - 1383 live Google ads / 117 new in 30d / near-pure Google account
