Store link,Monthly visitors,Country,Amount of products,Status
https://pomuyoo.com,184571,CN,1786,BIG PLAYER - 75 Shopping ads / 66 new in 30d / US-only targeting
https://averymae.com,52007,US,4961,BIG PLAYER - 23 new ads in 30d / opened 2024-06
https://pointcarre.be,129684,BE,16056,BIG PLAYER - 36 Shopping ads / 13 new in 30d
https://fkofficial.it,119477,IT,2724,BIG PLAYER - 22 Shopping ads / 9 new in 30d
https://daisysilk.com,359465,US,809,MID PLAYER - 271 Google ads but Search-heavy mix (Shopping only 43)
https://kulanikinis.com.au,97904,AU,750,MID PLAYER - swim specialist / 6 Shopping ads
https://outdoorvoices.com,342312,US,573,MID PLAYER - brand not dropship / 21 Shopping ads
https://sagebymala.com,224149,IN,489,MID PLAYER - 12 Shopping ads
https://sexymodest.com,225943,US,412,MID PLAYER - 73 Google ads / 4 new in 30d
https://smukoslo.no,30631,NO,250,BELOW PRODUCT BAR - but 89 Shopping ads / small-market model worth studying
https://goondiwindicotton.com.au,71769,AU,250,BELOW PRODUCT BAR - 11 Shopping ads / 7 new in 30d
https://francisbyfb.com,180906,NL,191,BELOW PRODUCT BAR - 12 new ads in 30d / accessories-led
https://mixedbynasrin.com,222719,US,128,BELOW PRODUCT BAR - high traffic / low ad count
https://tradlands.com,117357,US,35,BELOW PRODUCT BAR - 20 Google ads on tiny catalogue
https://xenaworkwear.com,69291,US,29,OUTLIER - 555 Shopping ads on 29 products / near-pure Shopping account
