keyword,country,volume_band,change_3m,ath_month,atl_month,class,import_month,draft_month,supply,source
boyfriend jeans,US,1K-10K,flat,none,none,permanent,keep listed,never,thin,course-confirmed
cocktail dress,US,10K-100K,flat,Nov,none,permanent,keep listed,never,unknown,course-confirmed
flare jeans,US,10K-100K,flat,none,none,permanent,keep listed,never,unknown,course-confirmed
leather jacket,US,1K-10K,rising,Oct-Dec,Jun-Jul,seasonal,Jul-Aug,Jan,unknown,course-confirmed
suede jacket,US,1K-10K,rising,Oct-Dec,Jun-Jul,seasonal,Jul-Aug,Jan,unknown,course-confirmed
letterman jacket,GB,1K-10K,unknown,Nov & Apr,Jul,dual-peak,Jul & Jan,Dec & May,unknown,course-confirmed
letterman jacket,US,1K-10K,unknown,Nov,Jul,seasonal,Jul,Dec,unknown,course-confirmed
wedding dress,US,10K-100K,unknown,Apr-Jun,Sep,seasonal,Jan,Jul,unknown,course-confirmed
lounge set,US,10K-100K,unknown,pending,pending,pending,pending,pending,unknown,course-confirmed
loafers,US,10K-100K,unknown,pending,pending,pending,pending,pending,unknown,course-confirmed
bralette,US,10K-100K,unknown,pending,pending,pending,pending,pending,unknown,course-confirmed
boxers women,US,10K-100K,unknown,pending,pending,pending,pending,pending,unknown,course-confirmed
